Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort
50	45513.453	25460.09	31315.676	11878.435
100	40239.87	16954.07	52425.504	11648.045
150	75767.65	22138.914	37635.51	14491.365
200	102581.17	39294.355	20754.846	19556.766
250	151729.84	59243.656	33220.35	24586.27
300	221198.22	83584.19	45013.46	31822.57
350	296528.8	116606.67	66544.82	37485.3
400	386086.47	138574.81	79520.65	45841.113
450	503824.44	175167.62	104528.46	51259.85
500	583116.4	212275.8	128114.72	61277.996
550	690894.5	256304.45	149340.48	64020.59
600	823376.2	298247.62	178536.6	71874.68
650	1024309.44	368303.12	215764.19	84442.58
700	1131758.0	404242.1	240693.58	88245.08
750	1304543.6	460427.28	271661.2	91252.24
800	1472669.0	526830.5	310428.03	100558.74
850	1643247.4	587702.2	343887.3	104550.57
900	1799736.5	654190.75	391539.2	111116.2
950	2009651.6	717331.06	424542.88	116412.02
1000	2202826.5	819520.9	463076.03	122726.7
